Entity,Code,Year,Market capitalization of listed domestic companies (% of GDP)
Algeria,DZA,1999,0.56873894
Algeria,DZA,2000,0.5207044
Algeria,DZA,2001,0.31837165
Algeria,DZA,2002,0.22409031
Algeria,DZA,2003,0.1941619
Algeria,DZA,2004,0.15132917
Algeria,DZA,2005,0.13239856
Algeria,DZA,2006,0.07661169
Algeria,DZA,2007,0.067842126
Algeria,DZA,2008,0.0506223
Algeria,DZA,2009,0.05991194
Algeria,DZA,2010,0.059292085
Algeria,DZA,2011,0.09013716
Algeria,DZA,2012,0.073440574
Algeria,DZA,2013,0.07698423
Algeria,DZA,2014,0.07043064
Algeria,DZA,2015,0.076813035
Algeria,DZA,2016,0.22912748
Algeria,DZA,2017,0.18598184
Algeria,DZA,2018,0.19090725
Argentina,ARG,1977,1.4661595
Argentina,ARG,1978,2.0161831
Argentina,ARG,1979,6.2378554
Argentina,ARG,1980,5.138775
Argentina,ARG,1981,1.7746391
Argentina,ARG,1982,1.15399
Argentina,ARG,1983,1.333239
Argentina,ARG,1984,1.0013252
Argentina,ARG,1985,2.309483
Argentina,ARG,1986,1.5026866
Argentina,ARG,1987,1.3032979
Argentina,ARG,1988,2.0116127
Argentina,ARG,1989,4.1731453
Argentina,ARG,1990,2.557646
Argentina,ARG,1991,9.824848
Argentina,ARG,1992,8.140217
Argentina,ARG,1993,18.609018
Argentina,ARG,1994,14.320696
Argentina,ARG,1995,14.643074
Argentina,ARG,1996,16.42197
Argentina,ARG,1997,20.23221
Argentina,ARG,1998,15.164096
Argentina,ARG,1999,19.697725
Argentina,ARG,2000,16.129042
Argentina,ARG,2001,12.424416
Argentina,ARG,2002,16.95694
Argentina,ARG,2003,27.428051
Argentina,ARG,2004,24.653456
Argentina,ARG,2005,23.94636
Argentina,ARG,2006,22.033339
Argentina,ARG,2007,19.848385
Argentina,ARG,2008,11.021843
Argentina,ARG,2009,13.738187
Argentina,ARG,2010,15.08632
Argentina,ARG,2011,8.220149
Argentina,ARG,2012,6.2739663
Argentina,ARG,2013,9.619995
Argentina,ARG,2014,11.426904
