Entity,Code,Year,GDP,Population,Annual CO₂ emissions,Military expenditure $,Market_cap,GDP_per_capita,CO2_per_GDP,CO2_per_Capita,Military_per_GDP
Afghanistan,AFG,2002,26890054382,21378123.0,1340995.0,299997120.0,0.0,1257.8304644425518,49.869553290961434,0.06272744337751261,1.115643411271105
Afghanistan,AFG,2003,29265058689,22733054.0,1559602.0,235182220.0,0.0,1287.3351151587465,53.29229018721275,0.06860503652522885,0.8036280483811198
Afghanistan,AFG,2004,29678901146,23560656.0,1237247.0,205434640.0,0.0,1259.6805940377892,41.68776309855903,0.05251326618409946,0.6921908563575226
Afghanistan,AFG,2005,33011757107,24404574.0,1889507.0,168567970.0,0.0,1352.6872916118102,57.23739557017819,0.07742429759273815,0.510630105067191
Afghanistan,AFG,2006,34780330056,25424100.0,2159318.0,172580690.0,0.0,1368.0063426433974,62.08445970821065,0.08493193466042062,0.4962019903840098
Afghanistan,AFG,2007,39589169629,25909852.0,2799909.0,211111680.0,0.0,1527.9581538713537,70.72411536383933,0.10806348874551656,0.5332561455023692
Afghanistan,AFG,2008,41143038133,26482629.0,4254477.0,236668400.0,0.0,1553.5858669092106,103.40697218924069,0.1606516105330781,0.5752331639558068
Afghanistan,AFG,2009,49943751386,27466101.0,6391888.0,321411000.0,0.0,1818.3779119577257,127.98173590523967,0.2327191617040948,0.6435459713787067
Afghanistan,AFG,2010,57116893447,28284088.0,8364803.5,523912670.0,0.0,2019.400217076117,146.45060323110678,0.29574237995582536,0.9172639448364781
Afghanistan,AFG,2011,57360414055,29347709.0,11838316.0,1129786400.0,0.0,1954.5107952038095,206.38477240852615,0.40338126563814575,1.96962734424599
Afghanistan,AFG,2012,64675178730,30560036.0,10035314.0,1395311900.0,0.0,2116.3318894650515,155.16484371685323,0.32838030688183745,2.1574148342519783
Afghanistan,AFG,2013,68297470348,31622708.0,9228517.0,1506299400.0,0.0,2159.760332606556,135.12238378636002,0.29183196454901966,2.2054980840796397
Afghanistan,AFG,2014,70158264544,32792527.0,9086037.0,1673232300.0,0.0,2139.458924406771,129.50772170685124,0.27707645098531136,2.3849396943828713
Afghanistan,AFG,2015,71176481723,33831765.0,9670181.0,1592464100.0,0.0,2103.835898688703,135.8620258533399,0.2858314072588291,2.2373459061905425
Afghanistan,AFG,2016,72785293847,34700614.0,8906380.0,1402862600.0,0.0,2097.521785839294,122.36510329575451,0.25666346998932066,1.9273984150547219
Afghanistan,AFG,2017,74711922906,35688942.0,9677441.0,1298656500.0,0.0,2093.419382003535,129.53007530238284,0.2711607701903856,1.7382185459661175
Afghanistan,AFG,2018,75600418108,36743040.0,10601884.0,1206063000.0,0.0,2057.543907853025,140.23578526846947,0.28854128564212433,1.5953126056486386
Afghanistan,AFG,2019,78557606648,37856126.0,10825145.0,997101100.0,0.0,2075.16233034516,137.79881365919385,0.28595490727181117,1.2692610461871616
Afghanistan,AFG,2020,76710638229,39068978.0,11605929.0,759559300.0,0.0,1963.4667236240477,151.29490860646297,0.2970625185025316,0.9901616223456906
Afghanistan,AFG,2021,60801742189,40000411.0,10271881.0,525009820.0,0.0,1520.027936437953,168.94057028942086,0.2567943864376794,0.8634782509488398
Albania,ALB,2002,20606259529,3134094.0,3748272.0,96006820.0,0.0,6574.869652601358,181.899679304966,1.1959666812801404,0.4659109522758646
Albania,ALB,2003,21745504914,3118092.0,4303499.0,115316056.0,0.0,6973.977969219638,197.9029237085849,1.3801706299878258,0.5302983603096667
Albania,ALB,2004,22944697295,3098663.0,4176684.0,146375300.0,0.0,7404.708835713984,182.03264773121077,1.3478987550437076,0.637948272396243
Albania,ALB,2005,24212718610,3076155.0,4261413.0,155129040.0,0.0,7871.098371180906,175.9989478521429,1.3853050317685551,0.6406923670930977
Albania,ALB,2006,25641912833,3050804.0,3910715.0,185005500.0,0.0,8404.968930485209,152.51260798948994,1.2818637316589332,0.7214964858702201
Albania,ALB,2007,27176135023,3022887.0,3948970.0,235589780.0,0.0,8990.126003056019,145.3102141514187,1.306357134752308,0.8668995050275291
Albania,ALB,2008,29214356409,2992933.0,4397043.0,290191000.0,0.0,9761.112730889732,150.5096651263354,1.4691418083866228,0.9933164227112719
Albania,ALB,2009,30194290455,2961487.0,4406552.0,264751000.0,0.0,10195.651865093449,145.939908956208,1.4879525049409301,0.8768247109319264
